gamma,NRC3
0.014354005,0.00320998
0.014510028,0.003253108
0.014666052,0.003296064
0.014822075,0.00333885
0.014978098,0.003381464
0.015134121,0.003423909
0.015290145,0.003466186
0.015446168,0.003508294
0.015602192,0.003550237
0.015758216,0.003592013
0.015914239,0.003633625
0.016070263,0.003675074
0.016226286,0.00371636
0.016382309,0.003757484
0.016538333,0.00379845
0.016694356,0.003839257
0.01685038,0.003879906
0.017006403,0.0039204
0.017162427,0.003960738
0.01731845,0.004000923
0.017474474,0.004040957
0.017630497,0.004080839
0.017786521,0.004120572
0.017942544,0.004160156
0.018098569,0.004199594
0.018254591,0.004238887
0.018410616,0.004278034
0.018566638,0.004317039
0.018722661,0.004355902
0.018878685,0.004394625
0.019034708,0.004433208
0.019190732,0.004471653
0.019346755,0.004509962
0.019502779,0.004548136
0.019658802,0.004586175
0.019814827,0.004624081
0.019970849,0.004661856
0.020126874,0.0046995
0.020282896,0.004737014
0.020438921,0.004774401
0.020594943,0.00481166
0.020750968,0.004848795
0.02090699,0.004885803
0.021063015,0.004922688
0.021219037,0.004959451
0.02137506,0.004996093
0.021531085,0.005032615
0.021687107,0.005069016
0.021843132,0.005105301
0.021999154,0.005141468
0.022155179,0.00517752
0.022311201,0.005213455
0.022467226,0.005249277
0.022623248,0.005284986
0.022779273,0.005320583
0.022935295,0.00535607
0.02309132,0.005391447
0.023247343,0.005426714
0.023403367,0.005461873
0.02355939,0.005496925
0.023715412,0.005531871
0.023871437,0.005566712
0.024027459,0.005601447
0.024183484,0.00563608
0.024339506,0.005670611
0.024495531,0.005705039
0.024651553,0.005739366
0.024807578,0.005773594
0.024963601,0.005807722
0.025119625,0.005841752
0.025275648,0.005875684
0.025431672,0.00590952
0.025587695,0.005943259
0.025743719,0.005976903
0.025899742,0.006010453
0.026055766,0.00604391
0.026211789,0.006077272
0.026367811,0.006110543
0.026523836,0.006143725
0.026679859,0.006176813
0.026835883,0.006209813
0.026991906,0.006242723
0.02714793,0.006275544
0.027303953,0.006308278
0.027459977,0.006340925
0.027616,0.006373485
0.027772024,0.006405959
0.027928047,0.006438348
0.028084071,0.006470654
0.028240094,0.006502874
0.028396118,0.006535012
0.028552141,0.006567068
0.028708164,0.006599041
0.028864188,0.006630933
0.029020211,0.006662744
0.029176235,0.006694476
0.029332258,0.006726128
0.029488282,0.0067577
0.029644305,0.006789196
0.029800329,0.006820613
0.029956352,0.006851952
0.030112376,0.006883216
0.030268399,0.006914403
0.030424424,0.006945515
0.030580446,0.006976551
0.030736471,0.007007514
0.030892493,0.007038402
0.031048518,0.007069217
0.03120454,0.007099959
0.031360563,0.007130629
0.031516585,0.007161227
0.031672612,0.007191754
0.031828634,0.007222209
0.031984657,0.007252595
0.03214068,0.007282911
0.032296706,0.007313157
0.032452729,0.007343335
0.032608751,0.007373443
0.032764774,0.007403484
0.0329208,0.007433458
0.033076823,0.007463364
0.033232845,0.007493204
0.033388868,0.007522977
0.033544894,0.007552685
0.033700917,0.007582329
0.03385694,0.007611906
0.034012962,0.00764142
0.034168985,0.007670869
0.034325011,0.007700255
0.034481034,0.007729577
0.034637056,0.007758838
0.034793079,0.007788034
0.034949105,0.007817171
0.035105128,0.007846245
0.03526115,0.007875257
0.035417173,0.007904209
0.035573199,0.007933101
0.035729222,0.007961932
0.035885245,0.007990704
0.036041267,0.008019418
0.03619729,0.008048071
0.036353316,0.008076666
0.036509339,0.008105203
0.036665361,0.008133682
0.036821384,0.008162103
0.03697741,0.008190469
0.037133433,0.008218777
0.037289456,0.008247028
0.037445478,0.008275223
0.037601504,0.008303363
0.037757527,0.008331446
0.03791355,0.008359475
0.038069572,0.00838745
0.038225599,0.00841537
0.038381621,0.008443236
0.038537644,0.008471048
0.038693666,0.008498806
0.038849689,0.008526511
0.039005715,0.008554163
0.039161738,0.008581764
0.039317761,0.008609311
0.039473783,0.008636806
0.03962981,0.00866425
