gamma,NRC3,,
0.011389565,0.00341936,,
0.011545588,0.003368811,,
0.011701612,0.003318599,,
0.011857635,0.003268719,,
0.012013659,0.003219164,,
0.012169682,0.003169927,,
0.012325706,0.003121003,,
0.012481729,0.003072387,,
0.012637753,0.003024072,,
0.012793777,0.002976053,,
0.0129498,0.002928325,,
0.013105824,0.002880883,,
0.013261847,0.002833721,,
0.013417871,0.002786835,,
0.013573894,0.002740222,,
0.013729918,0.002693875,,
0.013885941,0.002647791,,
0.014041965,0.002601965,,
0.014197988,0.002556393,,
0.014354012,0.002511073,,
0.014510036,0.002465999,,
0.014666059,0.002421168,,
0.014822083,0.002376577,,
0.014978106,0.002332221,,
0.01513413,0.002288099,,
0.015290154,0.002244205,,
0.015446178,0.002200539,,
0.015602201,0.002157095,,
0.015758224,0.002113873,,
0.015914248,0.002070868,,
0.016070271,0.002028078,,
0.016226295,0.0019855,,
0.016382318,0.001943132,,
0.016538342,0.001900972,,
0.016694365,0.001859017,,
0.01685039,0.001817265,,
0.017006412,0.001775715,,
0.017162437,0.001734363,,
0.017318459,0.001693209,,
0.017474484,0.001652251,,
0.017630506,0.001611487,,
0.017786531,0.001570916,,
0.017942555,0.001530536,,
0.018098578,0.001490346,,
0.018254602,0.001450347,,
0.018410625,0.001410536,,
0.018566649,0.001370912,,
0.018722672,0.001331477,,
0.018878696,0.00129223,,
0.019034719,0.001253171,,
0.019190744,0.0012143,,
0.019346766,0.001175619,,
0.019502791,0.001137129,,
0.019658813,0.00109883,,
0.019814838,0.001060726,,
0.01997086,0.00102282,,
0.020126885,0.000985114,,
0.020282907,0.000947613,,
0.020438932,0.000910322,,
0.020594954,0.000873249,,
0.020750979,0.0008364,,
0.020907002,0.000799785,,
0.021063026,0.000763415,,
0.021219049,0.000727305,,
0.021375073,0.000691471,,
0.021531096,0.000655935,,
0.02168712,0.000620721,,
0.021843143,0.000585863,,
0.021999167,0.0005514,,
0.02215519,0.000517382,,
0.022311214,0.000483871,,
0.022467237,0.000450951,,
0.022623261,0.000418725,,
0.022779286,0.000387332,,
0.022935309,0.000356953,,
0.023091333,0.000327829,,
0.023247356,0.000300282,,
0.02340338,0.000274738,,
0.023559403,0.000251759,,
0.023715427,0.00023205,,
0.02387145,0.000216452,,
0.024027474,0.000205841,,
0.024183497,0.000200949,,
0.024339521,0.000202134,,
0.024495544,0.000209236,,
0.024651568,0.000221638,,
0.024807591,0.000238465,,
0.024963615,0.000258814,,
0.025119638,0.000281884,,
0.025275663,0.000307029,,
0.025431685,0.000333748,,
0.02558771,0.000361662,,
0.025743732,0.000390492,,
0.025899757,0.000420023,,
0.026055779,0.000450095,,
0.026211804,0.000480587,,
0.026367826,0.000511405,,
0.026523851,0.000542476,,
0.026679873,0.000573742,,
0.026835898,0.000605158,,
0.026991921,0.000636688,,
0.027147945,0.000668301,,
0.027303968,0.000699974,,
0.027459992,0.000731688,,
0.027616017,0.000763426,,
0.027772039,0.000795174,,
0.027928064,0.000826922,,
0.028084086,0.00085866,,
0.028240111,0.000890378,,
0.028396133,0.000922073,,
0.028552158,0.000953736,,
0.02870818,0.000985364,,
0.028864205,0.001016951,,
0.029020227,0.001048496,,
0.029176252,0.001079994,,
0.029332275,0.001111441,,
0.029488299,0.001142838,,
0.029644322,0.00117418,,
0.029800346,0.001205468,,
0.029956369,0.0012367,,
0.030112393,0.001267872,,
0.030268416,0.001298987,,
0.03042444,0.001330041,,
0.030580463,0.001361034,,
0.030736487,0.001391965,,
0.03089251,0.001422835,,
0.031048534,0.001453643,,
0.031204557,0.001484387,,
0.031360582,0.001515069,,
0.031516604,0.001545688,,
0.031672627,0.001576243,,
0.031828653,0.001606734,,
0.031984676,0.001637162,,
0.032140698,0.001667526,,
0.032296721,0.001697827,,
0.032452747,0.001728063,,
0.03260877,0.001758237,,
0.032764792,0.001788345,,
0.032920819,0.001818393,,
0.033076841,0.001848376,,
0.033232864,0.001878295,,
0.033388887,0.001908153,,
0.033544913,0.001937948,,
0.033700936,0.00196768,,
0.033856958,0.00199735,,
0.034012981,0.002026957,,
0.034169007,0.002056504,,
0.03432503,0.002085988,,
0.034481052,0.002115411,,
0.034637075,0.002144772,,
0.034793101,0.002174074,,
0.034949124,0.002203315,,
0.035105146,0.002232495,,
0.035261169,0.002261615,,
0.035417195,0.002290677,,
0.035573218,0.002319677,,
0.035729241,0.002348619,,
0.035885263,0.002377503,,
0.03604129,0.002406328,,
0.036197312,0.002435094,,
0.036353335,0.002463802,,
0.036509357,0.002492454,,
0.036665384,0.002521047,,
0.036821406,0.002549584,,
0.036977429,0.002578063,,
0.037133452,0.002606486,,
0.037289478,0.002634853,,
0.0374455,0.002663165,,
0.037601523,0.00269142,,
0.037757549,0.002719621,,
0.037913572,0.002747766,,
0.038069595,0.002775856,,
0.038225617,0.002803891,,
0.038381644,0.002831873,,
0.038537666,0.002859802,,
0.038693689,0.002887676,,
0.038849711,0.002915497,,
0.039005738,0.002943265,,
0.03916176,0.00297098,,
0.039317783,0.002998643,,
0.039473806,0.003026253,,
0.039629832,0.003053813,,
0.039785855,0.003081319,,
0.039941877,0.003108775,,
0.0400979,0.00313618,,
0.040253926,0.003163534,,
0.040409949,0.003190837,,
0.040565971,0.00321809,,
0.040721994,0.003245294,,
0.04087802,0.003272447,,
0.041034043,0.003299551,,
0.041190065,0.003326605,,
0.041346088,0.003353611,,
0.041502114,0.003380569,,
0.041658137,0.003407477,,
0.04181416,0.003434338,,
0.041970182,0.003461151,,
0.042126209,0.003487916,,
0.042282231,0.003514634,,
0.042438254,0.003541303,,
0.042594276,0.003567927,,
0.042750303,0.003594504,,
0.042906325,0.003621034,,
0.043062348,0.003647518,,
0.043218374,0.003673957,,
0.043374397,0.00370035,,
0.043530419,0.003726696,,
0.043686442,0.003752997,,
0.043842468,0.003779255,,
0.043998491,0.003805467,,
0.044154514,0.003831634,,
0.044310536,0.003857756,,
0.044466563,0.003883836,,
0.044622585,0.003909871,,
0.044778608,0.003935861,,
0.04493463,0.003961809,,
0.045090657,0.003987715,,
0.045246679,0.004013577,,
0.045402702,0.004039395,,
0.045558725,0.004065171,,
0.045714751,0.004090905,,
0.045870773,0.004116596,,
0.046026796,0.004142246,,
0.046182819,0.004167854,,
0.046338845,0.00419342,,
0.046494868,0.004218945,,
0.04665089,0.004244429,,
0.046806913,0.004269871,,
0.046962939,0.004295274,,
0.047118962,0.004320635,,
0.047274984,0.004345957,,
0.047431007,0.004371238,,
0.047587033,0.004396479,,
0.047743056,0.004421681,,
0.047899079,0.004446842,,
0.048055105,0.004471965,,
0.048211128,0.004497047,,
0.04836715,0.00452209,,
0.048523173,0.004547095,,
0.048679199,0.004572062,,
0.048835222,0.004596991,,
0.048991244,0.00462188,,
0.049147267,0.004646732,,
0.049303293,0.004671546,,
0.049459316,0.004696322,,
0.049615338,0.004721059,,
0.049771361,0.00474576,,
0.049927387,0.004770424,,
0.05008341,0.00479505,,
0.050239433,0.004819641,,
0.050395455,0.004844192,,
0.050551482,0.00486871,,
0.050707504,0.004893189,,
0.050863527,0.004917633,,
0.051019549,0.00494204,,
0.051175576,0.004966413,,
0.051331598,0.004990748,,
0.051487621,0.005015048,,
0.051643644,0.005039313,,
0.05179967,0.005063543,,
0.051955692,0.005087737,,
0.052111715,0.005111897,,
0.052267738,0.005136021,,
0.052423764,0.005160111,,
0.052579787,0.005184167,,
0.052735809,0.005208188,,
0.052891836,0.005232176,,
0.053047858,0.005256129,,
0.053203881,0.005280047,,
0.053359903,0.005303932,,
0.05351593,0.005327784,,
0.053671952,0.005351603,,
0.053827975,0.005375387,,
0.053983998,0.005399139,,
0.054140024,0.005422857,,
0.054296046,0.005446543,,
0.054452069,0.005470196,,
0.054608092,0.005493816,,
0.054764118,0.005517404,,
0.054920141,0.00554096,,
0.055076163,0.005564483,,
0.055232186,0.005587974,,
0.055388212,0.005611434,,
0.055544235,0.005634861,,
0.055700257,0.005658257,,
0.05585628,0.005681621,,
0.056012306,0.005704955,,
0.056168329,0.005728256,,
0.056324352,0.005751526,,
0.056480374,0.005774765,,
0.056636401,0.005797974,,
0.056792423,0.005821151,,
0.056948446,0.005844299,,
0.057104468,0.005867415,,
0.057260495,0.005890501,,
0.057416517,0.005913557,,
0.05757254,0.005936584,,
0.057728566,0.005959579,,
0.057884589,0.005982545,,
0.058040611,0.006005481,,
0.058196634,0.006028387,,
0.05835266,0.006051264,,
0.058508683,0.006074111,,
