Epoch,WD0_NRC1,WD0_NRC2,WD0_NRC3,,WD5e-4_NRC1,WD5e-4_NRC2,WD5e-4_NRC3,,WD5e-3_NRC1,WD5e-3_NRC2,WD5e-3_NRC3,,WD5e-2_NRC1,WD5e-2_NRC2,WD5e-2_NRC3,,WD1e-1_NRC1,WD1e-1_NRC2,WD1e-1_NRC3
15,7.00343895,11.03147659,0.036189433,,7.291182041,10.62154694,0.031617228,,6.097452641,9.149430084,0.028675903,,1.496785522,1.994502258,0.000344018,,0.470269263,0.398900452,0.000344018
16,6.392971516,10.50927277,0.03344978,,6.72005558,10.52821121,0.029525682,,5.291320801,8.659922791,0.025748855,,1.090728283,1.388910675,0.000123882,,0.357532203,0.277782135,0.000123882
17,6.174597263,9.692427826,0.033947852,,6.563150406,9.648693085,0.029486634,,5.325817585,8.053672028,0.026154619,,1.214607239,1.560380363,0.000138037,,0.308751434,0.312076073,0.000138037
18,6.317434788,9.828839874,0.03226158,,6.303382397,9.974057007,0.02815976,,4.984789371,8.033005524,0.024206998,,0.906521797,1.307811069,9.36189E-05,,0.220702738,0.261562214,9.36189E-05
19,6.671963692,10.28240509,0.02945213,,6.599088669,10.4149025,0.025723472,,5.087778568,7.61884613,0.021864852,,1.052196264,0.986085987,0.000179471,,0.217410862,0.197217197,0.000179471
20,6.442461967,10.22454376,0.030115915,,6.333663464,9.530667877,0.026252938,,4.935421467,7.541189575,0.021885775,,0.946105301,0.887615967,0.000159045,,0.231006622,0.177523193,0.000159045
21,6.365803719,10.04418869,0.028324276,,6.460651398,9.876046753,0.024918154,,4.955591679,7.618719482,0.020079525,,0.658379734,0.869944763,0.000394295,,0.18145363,0.173988953,0.000394295
22,5.701056004,9.621160126,0.027687697,,6.126215935,9.533090973,0.023935257,,4.828843594,7.393121338,0.019423097,,0.588637292,0.841642094,0.000317663,,0.159227595,0.168328419,0.000317663
23,5.795145512,9.581279755,0.027032938,,5.865977287,9.181687164,0.023367194,,5.161689281,7.524310303,0.018920429,,0.624208987,0.712439728,0.000255124,,0.157515198,0.142487946,0.000255124
24,5.657457829,9.770817566,0.025564115,,5.633343697,9.487076569,0.022415571,,4.643863201,7.384706879,0.017497677,,0.514128268,0.624237347,0.000129756,,0.10279458,0.124847469,0.000129756
25,6.143891335,9.740185547,0.025505295,,5.981869698,9.326173401,0.022021376,,4.656333447,7.274181366,0.017633313,,0.522849262,0.551416111,0.000313758,,0.112836935,0.110283222,0.000313758
26,5.91871357,10.64454727,0.024058469,,5.765460968,9.492746735,0.02122237,,4.457466125,7.582757568,0.01628604,,0.41622892,0.531675291,1.64545E-05,,0.12276011,0.106335058,1.64545E-05
27,5.736581802,9.471450806,0.024161261,,5.876990795,9.134883881,0.021194467,,4.489971161,6.800223541,0.016352816,,0.444042146,0.471321964,0.00025201,,0.144133329,0.094264393,0.00025201
28,5.812060356,9.785294342,0.023236983,,5.744949818,9.505700684,0.020184586,,4.444458961,7.287480164,0.014873934,,0.305322081,0.447712994,7.30331E-05,,0.106240079,0.089542599,7.30331E-05
29,5.629828453,9.863414764,0.022314036,,5.876158237,9.701097107,0.019773191,,4.258151054,6.819483948,0.014467861,,0.292777926,0.413461542,5.50706E-05,,0.106336504,0.082692308,5.50706E-05
30,5.383712769,8.835624695,0.022283819,,5.738958836,9.122333527,0.019255655,,4.468012333,6.631455994,0.014496327,,0.299359471,0.381167865,1.1254E-05,,0.070850223,0.076233573,1.1254E-05
31,5.653186798,9.688697052,0.02135816,,5.425085068,8.894632721,0.019025866,,4.238094807,6.554459381,0.013568495,,0.248938665,0.357689166,1.91555E-05,,0.107444629,0.071537833,1.91555E-05
